#Rat_healing	RAT_0BEA.CEL	RAT_0BEB.CEL	RAT_0BEC.CEL	RAT_0BED.CEL	RAT_0EA.CEL	RAT_0EB.CEL	RAT_0EC.CEL	RAT_0ED.CEL	RAT_1BEA_26_03.CEL	RAT_1BEB_26_03.CEL	RAT_1BEC_26_03.CEL	RAT_1BED_26_03.CEL	RAT_1EA_26_03.CEL	RAT_1EB_26_03.CEL	RAT_1EC_26_03.CEL	RAT_1ED_26_03.CEL	RAT_3BEA_27_03.CEL	RAT_3BEB_27_03.CEL	RAT_3BED_27_03.CEL	RAT_3EAdobry_27_03.CEL	RAT_3EB_27_03.CEL	RAT_3EC_27_03.CEL	RAT_3ED_27_03.CEL	RAT5ED_28_03.CEL	RAT_3BEC_27_03.CEL	RAT5BEA_28_03.CEL	RAT5BEB_28_03.CEL	RAT5BEC_28_03.CEL	RAT5BED_28_03.CEL	RAT5EA_28_03.CEL	RAT5EB_28_03.CEL	RAT5EC_27_03.CEL	RAT5BEA_01_04.CEL	RAT7BEB_01_04.CEL	RAT7BEC_01_04.CEL	RAT5EA_01_04.CEL	RAT5EB_01_04.CEL	RAT7EC_01_04.CEL	RAT7ED_01_04.CEL
#Day0#Day1#Day3#Day5#Day7	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	5	5	5	5	5	5	5
1367562_at	12.15823	12.12922	11.87817	12.44342	12.15021	12.08880	12.42851	12.69258	11.27137	11.03046	11.79147	11.49182	11.42705	10.95634	11.76154	12.22002	13.07651	12.80634	12.79542	13.02816	12.60849	13.55730	13.50142	12.87392	13.88375	14.10096	13.66531	14.91871	14.83029	14.70853	13.77818	14.57352	14.43671	14.12368	14.28730	14.33446	15.05931	14.92149	14.63551
1367563_at	11.65429	11.39589	11.18275	11.34119	11.65765	11.51399	11.38620	11.28628	10.53189	10.36283	10.80824	10.49770	10.81357	10.38149	10.48952	10.95009	12.35807	12.10129	12.14692	12.28763	12.34995	12.61214	12.58343	12.10585	13.31047	13.57202	13.18516	14.22806	14.08023	14.07328	12.67801	13.82631	13.76925	13.56856	13.73662	13.62539	14.43401	14.21457	14.03726
1367571_a_at	6.42236	5.47417	6.53278	6.11327	6.13867	6.31450	6.03414	6.09286	4.08094	4.59932	4.22872	3.87610	2.99593	3.76002	4.08521	3.59622	2.73880	3.63990	2.40224	3.12697	3.12546	4.38481	3.36879	4.11267	4.58346	5.31053	4.66441	4.47765	3.52923	4.71634	3.66271	6.33532	5.30079	5.05359	5.17532	5.88021	6.82933	6.11586	6.12719
1367581_a_at	1.68605	1.51612	1.74298	1.41930	1.41060	1.40436	1.40974	1.39990	10.16900	7.75910	9.88173	9.61902	11.16143	9.87955	9.45896	10.65441	11.64495	11.12858	11.51149	11.87522	11.40336	11.15866	12.83662	10.07392	12.44568	10.71232	10.82552	13.08364	11.07972	12.98226	10.26497	11.60106	13.15216	11.88194	12.54514	13.58270	13.34007	10.88704	12.13309
1367592_at	6.06187	6.16849	6.70432	6.33284	6.16591	6.43237	6.17040	6.22230	2.23337	2.13175	3.19063	3.52421	2.22430	3.43793	2.09645	3.25398	3.49591	4.71892	5.30795	3.46360	3.47978	4.82856	4.47360	4.82065	5.81554	7.28556	7.17344	7.65632	7.99400	7.03293	7.63153	7.84865	6.52551	7.49507	7.34481	6.74904	7.22301	6.73412	7.55674
1367594_at	10.29570	10.36176	10.36072	10.46707	10.26200	10.49358	10.70652	10.77965	9.05381	9.15142	9.61376	9.55481	9.31022	8.69284	9.82139	9.60964	10.80148	10.83803	10.06317	10.81058	10.90499	11.21710	11.39246	10.87788	12.04874	12.45901	11.40417	13.06907	12.79494	12.66547	11.09265	13.09182	12.34003	11.31154	12.37601	12.33867	13.21631	13.22897	13.03198
1367648_at	11.55097	11.39712	11.34885	11.64162	11.40510	11.62760	11.51076	11.61292	7.08290	8.83742	7.31024	8.64028	6.99048	7.90696	8.21181	6.69904	9.73342	8.98133	9.27493	8.83850	8.10963	8.69006	7.26375	9.91832	9.93028	10.67860	9.30447	8.86060	7.58792	7.01513	9.26428	10.58766	9.32731	9.26644	8.99741	9.03920	8.05840	8.51634	9.35489
1367679_at	13.68341	13.53930	13.40991	13.61607	13.55266	13.74467	13.63609	13.47934	12.44504	12.36180	12.24985	12.33526	11.97710	12.03055	12.57573	12.05107	12.86859	12.82953	12.09856	13.11078	12.48848	13.49383	13.33666	12.89061	13.94815	14.12271	14.44714	14.00412	13.95623	14.43852	13.61776	14.56850	15.05316	14.86241	14.68550	14.95907	14.90127	15.07075	15.15643
1367682_at	6.82820	6.40491	5.97919	6.40153	6.61256	6.71491	6.22628	6.72865	4.47826	5.31034	4.61861	4.67186	4.88312	4.51371	4.73957	3.52649	8.00796	7.27068	8.23022	7.93185	7.16870	7.14365	7.75188	7.71429	7.77943	8.68826	9.49568	10.05902	10.30348	10.46556	9.47610	9.17993	10.35969	10.41519	10.75094	10.74553	10.80693	10.42676	10.54022
1367689_a_at	8.86254	8.44096	8.18109	6.89796	8.60302	8.90292	8.47015	8.20620	9.40538	9.91189	9.48364	9.08787	9.98478	9.80582	9.08067	9.05828	9.94062	9.39750	9.87718	10.46222	10.15715	10.24929	9.80781	9.44565	10.77697	11.47796	10.13278	11.12462	10.67603	10.86203	9.22880	11.98054	11.55578	10.69900	11.30040	11.80374	11.46552	11.01643	10.91841
